Debug:  F:() L:(0) 	(2022-05-27 21:02:02) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 21:02:02) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 21:02:02) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 21:02:02) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-27 21:02:03) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-27 21:02:03) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 21:02:03) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 21:02:03) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 21:02:03) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 21:02:03) 	read from db is =  2  and  1
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The result of it is =  39  and  25
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 21:02:03) 	The result of it is =  39  and  25
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-27 21:02:03) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
