Debug:  F:() L:(0) 	(2022-05-27 16:34:43) 	App begin
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 16:34:43) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 16:34:43) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 16:34:43) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-27 16:34:44) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-27 16:34:44) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 16:34:44) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 16:34:44) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 16:34:44) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 16:34:44) 	read from db is =  5  and  1
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The result of it is =  53  and  28
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 16:34:44) 	The result of it is =  53  and  28
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-27 16:34:44) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 16:34:44) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-27 16:34:44) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Page/EnterPage.qml) L:(49) 	(2022-05-27 16:34:46) 	The current status is =  [object Object]
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	the time is =  "2022-05-21"  and  1
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	The result of it is =  50  and  33
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	the time is =  "2022-05-22"  and  1
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	The result of it is =  50  and  42
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	the time is =  "2022-05-23"  and  1
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	The result of it is =  40  and  28
Debug:  F:() L:(0) 	(2022-05-27 16:34:46) 	the time is =  "2022-05-24"  and  1
